RAW,117829,137,39,172,2
RAW,117848,134,43,195,-1
[117860][D][Tone.cpp:105] noTone(): noTone was called
[117866][D][Tone.cpp:45] tone_task(): Task received from queue TONE_END: pin=25
RAW,117865,129,47,217,-3
RAW,117884,121,53,239,1
RAW,117903,121,57,239,1
RAW,117921,116,61,239,1
RAW,117939,111,65,241,3
RAW,117958,106,70,247,2
RAW,117976,107,73,217,2
RAW,117994,100,76,208,3
RAW,118013,97,79,195,3
RAW,118032,93,84,204,1
RAW,118049,91,87,186,4
RAW,118068,83,92,206,-1
RAW,118087,80,96,215,1
RAW,118105,79,100,228,0
RAW,118124,72,104,217,2
RAW,118142,68,108,225,-1
RAW,118160,63,113,228,2
RAW,118179,60,117,228,0
RAW,118197,55,121,228,-3
RAW,118215,47,127,252,2
RAW,118234,46,131,250,-4
RAW,118252,46,134,228,4
RAW,118270,44,135,197,2
RAW,118289,44,136,163,2
RAW,118308,43,137,107,3
RAW,118326,42,138,76,4
RAW,118344,45,137,32,-1
RAW,118363,48,136,10,1
RAW,118381,49,133,-32,1
RAW,118400,55,130,-76,1
RAW,118418,57,127,-119,2
RAW,118436,62,123,-152,3
RAW,118455,67,119,-184,-1
RAW,118473,78,112,-228,1
RAW,118491,82,105,-274,2
RAW,118510,92,97,-326,-2
RAW,118528,96,91,-347,3
RAW,118546,102,84,-384,1
RAW,118565,110,78,-369,-1
RAW,118584,117,71,-365,2
RAW,118602,122,64,-358,2
RAW,118621,128,58,-354,1
RAW,118639,134,53,-333,3
RAW,118657,137,48,-326,1
RAW,118676,140,44,-293,0
RAW,118694,148,39,-271,8
RAW,118712,153,34,-263,-7
RAW,118731,154,29,-260,-3
RAW,118750,161,25,-247,2
RAW,118767,162,22,-241,2
RAW,118786,165,18,-228,-1
RAW,118805,169,15,-204,2
RAW,118822,171,12,-186,1
RAW,118841,177,8,-186,1
RAW,118860,177,6,-172,1
RAW,118878,179,3,-163,0
RAW,118897,178,3,-130,-1
RAW,118915,178,2,-107,1
RAW,118933,180,2,-65,-2
RAW,118952,184,0,-65,-2
RAW,118970,182,-1,-43,2
RAW,118988,184,-2,-54,-1
RAW,119007,184,-2,-43,0
RAW,119026,185,-3,-53,1
RAW,119043,184,-3,-32,0
RAW,119062,180,-2,-10,0
RAW,119081,181,0,21,0
RAW,119099,180,0,21,0
RAW,119118,184,0,32,-1
RAW,119136,181,0,32,1
RAW,119154,181,-1,10,-1
RAW,119173,180,0,0,2
RAW,119191,177,1,10,2
RAW,119209,183,1,10,-1
RAW,119228,178,1,10,1
RAW,119246,180,0,10,2
RAW,119264,177,2,21,3
RAW,119283,179,2,10,0
RAW,119302,181,2,10,2
RAW,119320,178,1,0,-1
RAW,119338,179,1,10,2
RAW,119357,181,1,-10,3
RAW,119375,183,0,-21,-1
RAW,119394,178,0,-21,2
RAW,119412,182,0,-10,-1
RAW,119430,180,1,0,-3
RAW,119449,179,0,-10,-2
RAW,119467,179,1,10,2
RAW,119485,180,1,10,-1
RAW,119504,182,0,0,2
RAW,119522,179,0,-10,-1
RAW,119540,178,1,10,-2
RAW,119559,178,2,10,0
